ID,種類,地域,市区町村コード,都道府県名,市区町村名,地区名,最寄駅：名称,最寄駅：距離（分）,間取り,面積（㎡）,土地の形状,間口,延床面積（㎡）,建築年,建物の構造,用途,今後の利用目的,前面道路：方位,前面道路：種類,前面道路：幅員（ｍ）,都市計画,建ぺい率（％）,容積率（％）,取引時点,改装,取引の事情等,取引価格（総額）_log
43025945,中古マンション等,,43103,熊本県,熊本市西区,田崎本町,熊本,10,２ＬＤＫ,60,,,,平成2年,ＲＣ,住宅,その他,,,,近隣商業地域,80.0,300.0,2014年第４四半期,未改装,,7.146128035678238
43000497,中古マンション等,,43101,熊本県,熊本市中央区,京町,上熊本(ＪＲ・熊本電鉄),13,３ＬＤＫ,60,,,,昭和64年,ＳＲＣ,,住宅,,,,第２種住居地域,60.0,200.0,2019年第４四半期,未改装,,6.929418925714293
43004560,中古マンション等,,43103,熊本県,熊本市西区,島崎,上熊本(ＪＲ・熊本電鉄),25,,80,,,,平成11年,ＲＣ,,住宅,,,,,,,2018年第３四半期,改装済,,7.146128035678238
43001828,中古マンション等,,43101,熊本県,熊本市中央区,本荘,新水前寺,21,１Ｋ,25,,,,昭和64年,ＲＣ,,その他,,,,,,,2019年第１四半期,未改装,,6.643452676486188
43050130,中古マンション等,,43101,熊本県,熊本市中央区,大江,水前寺,20,４ＬＤＫ,80,,,,平成20年,ＳＲＣ,住宅,,,,,近隣商業地域,80.0,300.0,2009年第１四半期,未改装,,7.4623979978989565
43044396,中古マンション等,,43101,熊本県,熊本市中央区,本荘,熊本,25,１Ｋ,15,,,,,ＳＲＣ,住宅,,,,,,,,2013年第４四半期,,,6.4623979978989565
43050920,中古マンション等,,43101,熊本県,熊本市中央区,水前寺,水前寺,7,３ＬＤＫ,60,,,,昭和49年,ＳＲＣ,住宅,,,,,近隣商業地域,80.0,300.0,2009年第１四半期,未改装,,6.568201724066995
43044432,中古マンション等,,43101,熊本県,熊本市中央区,南千反畑町,上熊本(ＪＲ・熊本電鉄),29,３ＬＤＫ,80,,,,,ＳＲＣ,住宅,,,,,,,,2013年第２四半期,未改装,,7.380211241711606
43036138,中古マンション等,,43101,熊本県,熊本市中央区,黒髪,竜田口,29,１Ｋ,20,,,,平成2年,ＲＣ,住宅,,,,,第１種中高層住居専用地域,60.0,150.0,2012年第３四半期,未改装,,6.204119982655925
43034432,中古マンション等,,43101,熊本県,熊本市中央区,中央街,熊本,30分?60分,３ＬＤＫ,70,,,,平成13年,ＳＲＣ,住宅,住宅,,,,商業地域,80.0,600.0,2015年第２四半期,未改装,,7.2552725051033065
43000250,中古マンション等,,43101,熊本県,熊本市中央区,大江,水前寺,21,１Ｋ,20,,,,,ＲＣ,住宅,住宅,,,,近隣商業地域,80.0,300.0,2016年第２四半期,未改装,,6.278753600952829
